TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:24:30:445; 8.235400; 8.809600; 225.631600; 
2023.10.20_16:24:30:545; 8.038500; 9.263500; 225.653500; 
2023.10.20_16:24:30:645; 8.229900; 9.039300; 225.653500; 
2023.10.20_16:24:30:745; 8.188900; 9.372800; 225.763400; 
2023.10.20_16:24:30:845; 8.147900; 9.145900; 226.620400; 
2023.10.20_16:24:30:945; 8.243600; 9.427500; 226.642400; 
2023.10.20_16:24:31:045; 8.104100; 9.495900; 226.664400; 
2023.10.20_16:24:31:145; 8.087700; 9.386500; 226.642400; 
2023.10.20_16:24:31:245; 8.120500; 9.208800; 229.037500; 
2023.10.20_16:24:31:345; 8.049400; 9.520500; 229.213300; 
2023.10.20_16:24:31:445; 8.079500; 9.304500; 229.279300; 
2023.10.20_16:24:31:545; 8.076800; 9.260700; 229.279300; 
2023.10.20_16:24:31:645; 8.175200; 8.932600; 230.839400; 
2023.10.20_16:24:31:745; 8.678300; 9.189600; 230.685600; 
2023.10.20_16:24:31:845; 8.208000; 8.771300; 230.619700; 
2023.10.20_16:24:31:945; 8.552500; 8.856100; 230.641600; 
2023.10.20_16:24:32:045; 8.385800; 8.421300; 226.972000; 
2023.10.20_16:24:32:145; 8.506100; 8.555300; 227.609200; 
2023.10.20_16:24:32:245; 8.350200; 8.399400; 227.411500; 
2023.10.20_16:24:32:345; 8.309200; 8.563500; 227.455400; 
2023.10.20_16:24:32:445; 8.451400; 8.478700; 226.906100; 
2023.10.20_16:24:32:545; 8.347500; 8.544300; 223.851700; 
2023.10.20_16:24:32:645; 8.413100; 8.322900; 223.741800; 
2023.10.20_16:24:32:745; 8.303700; 8.459600; 223.697900; 
2023.10.20_16:24:32:845; 8.016600; 8.631800; 226.444600; 
2023.10.20_16:24:32:945; 7.967400; 8.949000; 228.620000; 
2023.10.20_16:24:33:045; 8.309200; 8.823200; 228.642000; 
2023.10.20_16:24:33:145; 7.986500; 8.990000; 228.729900; 
2023.10.20_16:24:33:245; 7.833400; 8.538900; 228.817800; 
2023.10.20_16:24:33:345; 7.836200; 8.593600; 230.092300; 
2023.10.20_16:24:33:445; 8.325600; 8.366600; 230.048300; 
2023.10.20_16:24:33:545; 7.896300; 8.172500; 230.070300; 
2023.10.20_16:24:33:645; 8.180700; 8.000200; 230.004400; 
2023.10.20_16:24:33:745; 8.049400; 7.890800; 231.344800; 
2023.10.20_16:24:33:845; 8.065800; 8.049400; 231.432700; 
2023.10.20_16:24:33:945; 8.229900; 8.005700; 231.432700; 
2023.10.20_16:24:34:045; 7.964700; 8.024800; 231.476700; 
2023.10.20_16:24:34:145; 8.123300; 8.279100; 227.850900; 
2023.10.20_16:24:34:245; 8.095900; 8.139700; 228.158600; 
2023.10.20_16:24:34:345; 7.860800; 8.473300; 228.180600; 
2023.10.20_16:24:34:445; 8.448600; 8.426800; 228.136600; 
2023.10.20_16:24:34:545; 8.303700; 8.199800; 229.345200; 
2023.10.20_16:24:34:645; 8.372100; 8.276400; 230.905300; 
2023.10.20_16:24:34:745; 8.333800; 7.751400; 230.927300; 
