TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:36:40:845; 8.861500; 7.672100; 244.397400; 
2023.10.20_16:36:40:945; 8.886100; 7.458800; 244.265500; 
2023.10.20_16:36:41:045; 9.181400; 7.699400; 243.606300; 
2023.10.20_16:36:41:145; 8.782200; 7.584600; 243.628300; 
2023.10.20_16:36:41:245; 8.697500; 7.650200; 243.628300; 
2023.10.20_16:36:41:345; 8.566200; 7.702200; 243.650300; 
2023.10.20_16:36:41:445; 8.610000; 7.948300; 244.529200; 
2023.10.20_16:36:41:545; 8.637300; 8.112300; 244.573200; 
2023.10.20_16:36:41:645; 8.842400; 7.940100; 244.573200; 
2023.10.20_16:36:41:745; 8.577200; 8.429500; 244.595100; 
2023.10.20_16:36:41:845; 8.574400; 8.251800; 242.771300; 
2023.10.20_16:36:41:945; 8.525200; 8.560700; 242.617500; 
2023.10.20_16:36:42:045; 8.454100; 8.549800; 242.661400; 
2023.10.20_16:36:42:145; 8.563500; 9.003700; 242.661400; 
2023.10.20_16:36:42:245; 8.552500; 9.006400; 245.166500; 
2023.10.20_16:36:42:345; 8.541600; 9.673600; 246.353000; 
2023.10.20_16:36:42:445; 8.511500; 9.296300; 246.440900; 
2023.10.20_16:36:42:545; 8.538900; 9.400200; 246.462900; 
2023.10.20_16:36:42:645; 8.503300; 9.361900; 246.133300; 
2023.10.20_16:36:42:745; 8.651000; 9.148600; 242.815200; 
2023.10.20_16:36:42:845; 8.626400; 9.449400; 242.947100; 
2023.10.20_16:36:42:945; 8.629100; 9.345500; 243.013000; 
2023.10.20_16:36:43:045; 8.555300; 9.474000; 243.232700; 
2023.10.20_16:36:43:145; 8.790400; 9.676300; 247.935200; 
2023.10.20_16:36:43:245; 8.517000; 9.670900; 247.781400; 
2023.10.20_16:36:43:345; 8.519700; 9.515000; 247.759400; 
2023.10.20_16:36:43:445; 8.120500; 9.632600; 247.715400; 
2023.10.20_16:36:43:545; 8.153300; 9.356400; 244.529200; 
2023.10.20_16:36:43:645; 8.153300; 9.219700; 244.265500; 
2023.10.20_16:36:43:745; 7.934600; 9.312700; 244.221600; 
2023.10.20_16:36:43:845; 8.208000; 9.102100; 244.199600; 
2023.10.20_16:36:43:945; 8.016600; 9.263500; 243.408500; 
2023.10.20_16:36:44:045; 8.082200; 9.156800; 243.364600; 
2023.10.20_16:36:44:145; 8.115100; 9.266200; 243.364600; 
2023.10.20_16:36:44:245; 8.098700; 9.359200; 243.364600; 
2023.10.20_16:36:44:345; 8.317400; 9.531400; 242.507600; 
2023.10.20_16:36:44:445; 8.134200; 9.769300; 242.639500; 
2023.10.20_16:36:44:545; 8.134200; 9.599800; 242.639500; 
2023.10.20_16:36:44:645; 8.112300; 9.364600; 242.639500; 
2023.10.20_16:36:44:745; 8.063100; 9.602500; 242.024200; 
2023.10.20_16:36:44:845; 8.005700; 9.673600; 241.189200; 
2023.10.20_16:36:44:945; 7.879900; 9.353700; 241.189200; 
2023.10.20_16:36:45:045; 8.074000; 9.203300; 241.189200; 
2023.10.20_16:36:45:145; 7.814300; 9.135000; 241.211100; 
2023.10.20_16:36:45:245; 7.683000; 9.337300; 243.716200; 
2023.10.20_16:36:45:345; 7.858000; 8.910700; 243.760100; 
2023.10.20_16:36:45:445; 7.877200; 9.033800; 243.782100; 
2023.10.20_16:36:45:545; 7.940100; 8.938100; 243.782100; 
2023.10.20_16:36:45:645; 8.000200; 9.140400; 245.693800; 
2023.10.20_16:36:45:745; 8.033000; 9.331800; 245.715800; 
2023.10.20_16:36:45:845; 7.907300; 9.124000; 245.715800; 
2023.10.20_16:36:45:945; 8.128700; 9.290800; 245.715800; 
2023.10.20_16:36:46:045; 8.306500; 9.217000; 242.331800; 
2023.10.20_16:36:46:145; 7.983800; 9.102100; 242.419700; 
2023.10.20_16:36:46:245; 8.030300; 9.124000; 242.485600; 
2023.10.20_16:36:46:345; 7.896300; 8.763100; 242.463700; 
2023.10.20_16:36:46:445; 7.961900; 8.779500; 242.397700; 
2023.10.20_16:36:46:545; 8.197100; 8.462300; 242.397700; 
2023.10.20_16:36:46:645; 8.126000; 8.569000; 242.397700; 
2023.10.20_16:36:46:745; 8.139700; 8.377500; 242.375800; 
2023.10.20_16:36:46:845; 8.082200; 8.541600; 245.012600; 
2023.10.20_16:36:46:945; 8.101400; 8.374800; 245.210400; 
2023.10.20_16:36:47:045; 8.216200; 8.476000; 245.298300; 
2023.10.20_16:36:47:145; 8.101400; 8.467800; 245.342200; 
2023.10.20_16:36:47:245; 8.342000; 8.336500; 244.683000; 
2023.10.20_16:36:47:345; 8.126000; 8.265400; 242.243900; 
2023.10.20_16:36:47:445; 8.106900; 8.164300; 242.265900; 
2023.10.20_16:36:47:545; 8.123300; 8.079500; 242.331800; 
2023.10.20_16:36:47:645; 7.937300; 8.049400; 242.331800; 
2023.10.20_16:36:47:745; 8.112300; 7.852600; 240.639800; 
2023.10.20_16:36:47:845; 7.915500; 7.822500; 240.573900; 
2023.10.20_16:36:47:945; 7.855300; 8.213500; 240.529900; 
